순번(No),광고회사,주소,전화번호
271,(주)애드버스컴퍼니,"경기도 안양시 동안구 벌말로 66  (관양동) F동 4층 403,404호",02-556-7280
272,(주)오킴앤커뮤니케이션,서울특별시 구로구 디지털로31길 19 에이스테크노타워2  802호 (구로동),02-3445-3224
273,(주)제이엔에스,대전 서구 탄방동 704 제이엔에스빌딩 10층,042-344-2200
274,아이캔미디어(주),울산광역시 중구 태화로 202  (태화동),052-900-8804
275,(주)위트커뮤니케이션,서울특별시 강남구 봉은사로74길 20 2층 (삼성동),02-564-8750
276,(주)피엠지커뮤니케이션,서울특별시 마포구 성산로2길 41  (성산동)유니온빌딩4층,070-8933-2482
277,(주)에이엔씨파트너스,"광주광역시 서구 상무누리로 30  (치평동,김대중컨벤션센터)",062-383-2838
278,(주)창조,경상북도 영천시 천문로 323 1층  (과전동),053-961-8969
279,(주)애드케이,광주광역시 광산구 하남대로 278-1  (운남동),062-430-7724
280,(주)크리진엔터테인먼트,서울 강남구 신사동 532-1 6층,02-515-1080
281,(주)씨오엠파트너스,서울특별시 강남구 역삼로 227 5층 501호 썬스코빌딩 (역삼동),02-3472-0505
282,(주)제이에스기획,"서울특별시 성북구 성북로 11  (성북동1가,301호)",070-4694-0428
283,(주)이든앤앨리스마케팅,서울 서초구 반포동 748-1 청호타워 12층,02-525-5711
284,문화공장오감(주),서울특별시 종로구 대학로12길 63 3층302호 (동숭동),02-3141-1023
285,(주)피피엘앤컴퍼니,서울특별시 강남구 강남대로146길 37 매틴빌딩 지하2층 (논현동),02-725-1993
286,(주)네오엔터테인먼트,서울특별시 영등포구 선유로47길 15  (양평동4가)구산드림타워 1201호,02-541-8940
287,(주)애드라이트,경기 하남시 감일동 331-19번지 애드빌딩,02-403-0864
288,인터즈(주),서울 마포구 서교동 362-4 중산빌딩 5층,02-338-7007
289,(주)케이비에스아트비전,서울특별시 영등포구 여의대방로 359 (여의도동)KBS별관 3층 ,02-6099-7759
290,올리브미디어(주),광주광역시 남구 중앙로 87 KBC빌딩 9층 (서동),062-672-6600
291,주식회사 이에프코리아,경기도 광주시 오포읍 오포안로 310-1 경기도 광주시 오포읍 오포안로 310-1,02-335-0036
292,(주)더지원커뮤니케이션즈,"서울특별시 은평구 연서로48길 12 507동 202호 (진관동, 은평뉴타운 제각말)",02-6497-1400
293,(주)스포츠플러스,서울 강남구 역삼동 791-12번지 삼영빌딩 2층,02-3454-1265
294,(주)오피피엘,서울특별시 마포구 마포대로 44 진도빌딩 14층 (도화동),02-303-6269
295,지앤지프로덕션(주),서울 강남구 도곡동 411-19 지앤지빌딩 4층,02-3460-4800
296,(주)애드넷씨에스,서울 중구 충무로2가 48-5 은광빌딩 4층,02-2273-6646
297,(주)딜라이브강남케이블티브이,서울특별시 강남구 학동로 318 유경빌딩 4층 (주)딜라이브강남케이블TV 광고영업팀 ,070-8121-7042
298,(주)팀케이,서울특별시 마포구 월드컵북로 402  (상암동) KGIT센터 24층,02-6393-4550
299,(주)씨엔씨붐,서울특별시 강남구 테헤란로 313 1718호 (역삼동),02-511-6001
300,(주)유달리커뮤니케이션즈,서울 강남구 논현2동 218-16,02-3443-7906
301,(주)엠피디컴퍼니,"서울특별시 강남구 강남대로92길 31 6층, 6321호 (역삼동)",02-6085-7708
302,(주)제이앤케이인글로벌,서울특별시 종로구 종로 1 (종로1가),070-8916-0152
303,(주)더문컴즈,서울특별시 구로구 디지털로31길 20 에이스테크타워5차 905호~906호 (구로동),02-855-7242
304,주식회사 함샤우트두들,서울특별시 마포구 마포대로 89  (도화동) 포스트타워 16층,02-6020-0500
305,주식회사 설린애드,부산 중구 중앙동2가 10번지 대신증권빌딩 3층,051-467-9918
306,(주)더블유나인,서울특별시 영등포구 국회대로66길 19 402호 (여의도동),02-780-4530
307,하우투펀,서울특별시 마포구 와우산로35길 3 201호 (서교동),02-6215-1604
308,(주)스프링비트컴,"서울특별시 강남구 역삼로 228 , 201호 (역삼동, 한성빌딩)",02-6928-2200
309,(주)애드팔레트,"서울특별시 종로구 새문안로 103-1  (신문로1가,다정빌딩)",02-511-5016
310,(주)스텀프월드,서울 성동구 성수2가3동 281-26 휴먼테코 204호,02-6466-5440
311,(주)바인앤베리,서울 영등포구 영등포동5가 44번지 3층,02-2260-5491
312,(주)슈퍼미디어,서울 금천구 가산동 371-28 우림라이온스벨리  씨-507,02-582-1218
313,(주)제이앤씨마케팅커뮤니케이션,서울 관악구 청룡동 KT관악지점 4층,02-737-2378
314,(주)투와이드컴퍼니,"서울특별시 강남구 남부순환로351길 19 , 4,6층(도곡동)",02-593-8451
315,애플아이엠씨컴퍼니(주),서울특별시 영등포구 국회대로 750 208호 (여의도동),02-761-1400
316,(주)애드웹커뮤니케이션,서울 금천구 가산동 371-28 우림라이온스밸리 비 - 312호,02-3482-2004
317,주식회사애드넷21,부산광역시 북구 금곡대로638번가길 26  (금곡동),051-341-8894
318,(주)애플애드벤처,대구광역시 중구 달구벌대로 2221 (삼덕동3가) 3층,053-254-0911
319,(주)더리얼마케팅,서울특별시 강남구 압구정로10길 13 (마사빌딩 401호) (신사동),02-518-5112
320,(주)에이치앤에이치엔터테인먼트,서울특별시 강남구 논현로149길 12  (논현동),02-546-0966
321,(주)유오케이,광주 서구 양동 60-37 KDB빌딩 1807호,070-8890-8573
322,바움크리에이티브 주식회사,"부산광역시 금정구 중앙대로 1817 , 비엔빌딩 (구서동)",051-519-2000
323,(주)갤럭시아에스엠,"서울특별시 강남구 학동로 311  (논현동,미성빌딩) 7층",02-775-1300
324,(주)시크릿아일랜드,제주특별자치도 제주시 황사평6길 90-8  (화북이동)1층,064-721-0800
325,(주)컴시너지,서울 서초구 방배동 951-8,02-3448-9700
326,제콘플러스(주),"서울특별시 서초구 신반포로47길 36  (잠원동,남전빌딩) 2층",02-2015-7401
327,(주)홀컴,서울 영등포구 여의도동 12-1 삼도오피스텔 901호,02-6264-6522
328,굿윌커뮤니케이션즈(주),서울특별시 중구 동호로 292 5층 (장충동2가),02-2263-4754
329,(주)에딧,서울특별시 강남구 학동로3길 9  (논현동) 명림빌딩 5층,02-562-5426
330,(주)다복미디어,서울특별시 영등포구 여의대방로67길 21 9층 924호 (여의도동),02-592-0083
331,(주)크리에이티브봄,서울 용산구 한남동 이태원로 55 나길 7,02-544-6033
332,(주)유어비즈,서울 강남구 역삼동 735-32 쓰리엠타워 11층,02-569-2031
333,(주)나비프론티어,서울특별시 강남구 테헤란로78길 14-10  (대치동) 약산빌딩 3층,02-516-6645
334,주식회사 포유커뮤니케이션즈,"부산광역시 해운대구 센텀동로 99 , 벽산e센텀클래스원 1001호 (재송동)",051-552-7978
335,(주)티지크리에이티브,"서울특별시 강남구 학동로14길 11 202호(논현동, 엘리트빌딩)",02-3442-6702
336,(주)톰커뮤니케이션즈,서울 강남구 삼성동 120-12 오로라빌딩 2층,02-561-8700
337,(주)오렌지공작소,서울 영등포구 신길1동 22-5 대우디오빌 1411,02-848-3288
338,(주)유피피코리아,서울특별시 강남구 논현로114길 8 2층 (논현동),02-426-1480
339,(주)미본,"광주광역시 남구 사직길 26  (사동,2층))",062-953-8857
340,(주)유브레인커뮤니케이션즈,서울특별시 마포구 창전로 90 6층 (신수동),02-543-3722
341,(주)디에이와이엔터테인먼트,"서울특별시 양천구 목동서로 225  (목동,대한민국예술인센터1410호)",02-525-6645
342,(주)이피피엔,서울특별시 강남구 학동로7길 29  (논현동),02-2085-1800
343,주식회사 미디어컴,"서울특별시 마포구 와우산로 49  (상수동,상수 아뜨리에 9층) 902",02-761-1031
344,(주)엠에프미디어,서울특별시 서초구 논현로5길 16-5 1층 (양재동),02-6084-1617
345,(주)에이플랜,"대구광역시 수성구 상화로 34  (상동, 3층)",053-766-7060
346,엠퍼니인터랙티브(주),서울 강남구 논현동 242-44,02-6404-1663
347,주식회사 디케이,대전 서구 둔산동 1182 송전빌딩301호,042-221-0900
348,(주)얼라이브미디어컴퍼니,서울특별시 중구 충무로 13 엘크루메트로시티 1007호 (충무로3가),02-2268-3051
349,(주)비젼컴퍼니,"서울특별시 영등포구 국회대로70길 22  (여의도동, 금강빌딩10층 1001호)",02-786-0701
350,(주)지에스넷비전,"서울특별시 강남구 논현로 508  (역삼동,GS타워)",02-2068-1756
351,(주)디지털에볼루션,"서울특별시 마포구 백범로 235  (신공덕동,신보빌딩) 2층",02-701-5973
352,(주)동성미디어,강원도 강릉시 수리골길 12-6  (포남동),033-651-4142
353,크리에이티브리퍼블릭(주),서울특별시 강남구 도산대로45길 10-8  (신사동) 2층,02-511-3930
354,주식회사타겟커뮤니케이션즈,부산광역시 해운대구 센텀중앙로 66  (우동) 센텀T타워제5층,051-701-5553
355,디케이이앤엠,"서울특별시 강남구 영동대로122길 15  (삼성동,클레어홀딩스빌딩) 3층",02-3448-4484
356,(주)아주뉴스코퍼레이션,서울특별시 종로구 종로1길 42  (수송동)11층,02-767-1500
357,(주)아주엠앤씨,서울 중구 충정로1가 청양빌딩 ,02-720-0455
358,(주)오감인터렉티브,"서울특별시 서초구 강남대로99길 49  (잠원동,잠원동 삼양빌딩 비동) 5층",02-3445-5255
359,(주)비투비즈,"경기도 성남시 분당구 느티로 22  (정자동,백궁 동양파라곤)비-2805",031-782-7270
360,(주)서현애드,대구광역시 중구 봉산문화1길 29  (봉산동),070-8808-7134
361,(주)이음스토리,"서울특별시 동대문구 경희대로 26  (회기동,경희대학교 경영대학관 및 국제회관) 창업보육센터 506호",02-964-0561
362,(주)허밍아이엠씨,"서울특별시 서초구 강남대로 311, 9층 915호(서초동,한화생명보험빌딩)",02-2038-7939
363,(주)굿초이스,"서울특별시 송파구 송파대로 111 103동 705호 (문정동, 파크하비오)",02-333-1935
364,(주)네오스토리,서울 광진구 자양동 222-7   3층,02-457-5123
365,(주)메네스,서울 강남구 논현동 223-5 501호,02-2203-2290
366,(주)미소다컴,"서울특별시 강남구 압구정로28길 9-2 , 수정빌딩 5층 (신사동)",02-2232-3737
367,(주)리고,"서울특별시 서초구 서초대로 397  (서초동,부띠크 모나코 업무시설,판매시설 등) 1801",02-558-8817
368,(주)유끼커뮤니케이션,"서울특별시 강남구 도산대로 327  (신사동,KMD빌딩) 502",02-3445-6428
369,(주)라아미디어,경기도 성남시 분당구 성남대로 295 씨동 204호 (정자동),031-711-7897
370,(주)일오삼프로덕션,"서울특별시 서초구 마방로 16  (양재동,재연빌딩) 2층",02-529-9417
371,(주)레브컴그룹,"서울특별시 강서구 강서로 462  (등촌동,대룡드림타워-1) 7층 708호",02-3448-5370
372,(주)콘텐츠연,서울특별시 성동구 연무장11길 10  (성수동2가) 우리큐브빌딩,02-546-0320
373,주식회사브레인스톰,부산광역시 수영구 수영로 650 (광안동) 2층,051-851-1531
374,(주)애플망고커뮤니케이션,서울특별시 강남구 논현로95길 12  (역삼동),02-547-8822
375,(주)비즈플,"서울특별시 영등포구 양평로 95-1  (양평동4가,동진빌딩) 3층",070-8258-1336
376,(주)드림아이플래너스,서울 중구 신당3동 372-72,02-2236-5580
377,(주)글로벌케이티티,서울특별시 영등포구 63로 32 (여의도동 콤비빌딩) 10층 1007,02-784-2452
378,(주)스토리인,서울특별시 강남구 삼성로119길 17  (삼성동)지하B101호,070-8825-5790
379,(주)미디어유성,"부산광역시 해운대구 센텀동로 41 , 1층 101호 (우동, (주)웹스)",051-757-7890
380,(주)에이디자인,"서울특별시 강남구 도산대로89길 8  (청담동,LH빌딩) 5층",070-7462-1405
381,(주)로지소프트,"서울특별시 강남구 언주로85길 24  (역삼동,유니팜타워)5층",02-6911-3905
382,(주)흥전기획,서울특별시 영등포구 국제금융로8길 27-9  (여의도동) 동북빌딩 5층,02-785-0277
383,(주)플랜티넷,"경기도 성남시 분당구 대왕판교로 670  (삼평동) 유스페이스2,A동층",070-4489-7029
384,(주)세요미디어,"서울특별시 서초구 강남대로 309  (서초동,코리아비지니스센타)914",02-725-3061
385,액티브인터내쇼날(주),서울특별시 강남구 테헤란로87길 36  (삼성동) 2304호,02-2016-6091
386,(주)아이알플러스,서울특별시 강남구 강남대로114길 20  (논현동) 동명빌딩 3층,02-557-9592
387,미디어포커스(주),"서울시 종로구 새문안로 92 (신문로1가, 광화문오피시아) 2029호",02-771-3200
388,베티카(주),"서울특별시 강남구 테헤란로70길 14-8  (대치동,세왕개발빌딩)864",070-7516-7999
389,(주)리프앤바인,서울특별시 강남구 봉은사로 304 금강빌딩 11층 (역삼동),02-6930-9000
390,(주)두리컴,"부산광역시 해운대구 센텀중앙로 48  (우동, 에이스하이테크21)",051-501-5240
391,(주)광고방,서울 강남구 청담동 95-3,02-542-9048
392,(주)올리브애드,서울특별시 서초구 사임당로 58 비1-210호 (서초동),02-723-6991
393,(주)판테라픽펴스,서울 마포구 상수동 64-10 씨코빌딩 2층,02-859-3071
394,(주)이호이앤에프,"서울특별시 마포구 창전로 12  (신정동,농은오피스텔) 지하1층",02-540-7942
395,(주)타임코미디어,서울특별시 강남구 테헤란로8길 32  (역삼동) 타임코빌딩 502,02-561-6260
396,(주)포시즌인사이드,"부산광역시 해운대구 센텀중앙로 90 1407호 (재송동, 큐비이센텀)",051-201-3747
397,(주)엠에이피에스,"서울특별시 종로구 인왕산로1길 25 (사직동), 5층",02-499-7411
398,(주)미디어앤,서울특별시 마포구 월드컵북로5길 48-9 1층 서교동 (서교동),02-2097-7998
399,주식회사 즐거운인생열시십분사십초,서울특별시 강남구 학동로8길 10 401호 (논현동),02-2015-7490
400,(주)인터러뱅커뮤니케이션즈,"서울특별시 강남구 논현로67길 25  (역삼동,역삼동빌딩) 5층",02-568-3210
401,(주)엠플러스어소시에이션,서울특별시 마포구 동교로 187  (동교동) 4층,02-6264-0390
402,(주)이니셔티브,"서울특별시 강남구 언주로 727  (논현동,트리스빌딩)",02-6255-0055
403,(주)테라애드컴퍼니,"서울특별시 영등포구 국제금융로8길 19  (여의도동,중앙빌딩) 816",02-6925-5375
404,(주)피엘미디어,서울특별시 영등포구 국제금융로6길 33  (여의도동) 맨하탄빌딩 1308,02-786-5706
405,(주)포이시스,"서울특별시 금천구 가산디지털1로 168  (가산동,우림 라이온스밸리) B-1412",02-2102-7100
406,파스텔미디어(주),"서울특별시 서대문구 서소문로 27  (충정로3가,충정리시온) 2층 220, 221",02-364-2585
407,(주)초록물고기아트텍,"제주특별자치도 제주시 중앙로 217  (이도이동,제주벤처마루) 806",064-725-2131
408,(주)오아시스컴퍼니,경기도 안산시 단원구 원고잔로 6 11층 1113호 (고잔동),070-4113-2808
409,(주)나인토마토,"서울특별시 용산구 한강대로 109  (한강로2가,용성비즈텔)",02-794-7890
410,(주)디애드,"서울특별시 마포구 월드컵북로 375 ,905호(상암동, DMC 이안 상암1단지)",02-783-5670
411,(주)라온플러스,충청북도 청주시 서원구 장암동 172-30  (장암동),043-264-0014
412,(주)메타커뮤니케이션즈,서울특별시 강남구 논현로86길 27  (역삼동) 동보빌딩 2층,02-566-6644
413,(주)양유,"서울특별시 서초구 방배천로2길 27  (방배동,AP 빌딩)2층",02-523-5780
414,(주)초아커뮤니케이션,서울특별시 마포구 와우산로29가길 9 초아빌딩 1층 (서교동),02-322-1155
415,(주)쓰리코어,서울특별시 강남구 봉은사로82길 31 (삼성동 예논빌딩) 3층,02-862-7667
416,(주)트리니티마케팅컴퍼니,서울특별시 강남구 봉은사로26길 14  (역삼동),02-516-5022
417,(주)프로네어,서울특별시 영등포구 국제금융로 78  (여의도동) 홍우빌딩 703-B호,02-326-0804
418,주식회사 엠케이이노베이션,"서울특별시 강남구 학동로26길 70 (논현동, 301호)",02-712-9665
419,김영일교육컨설팅(주),"서울특별시 강남구 도곡로13길 6  (역삼동,석영빌딩) 2,3층",02-3432-0101
420,(주)인포굿,경기도 성남시 분당구 서판교로 164  (판교동)훼미리프라자403호,070-4216-8877
421,(주)메이저인터랙티브,"대구광역시 동구 동부로26길 60  (신천동,유진빌딩)",053-751-3488
422,허밍스토리(주),서울특별시 마포구 어울마당로5길 23  (서교동) 401-1 4층,02-334-0901
423,유니비젼(주),대전광역시 서구 도산로 452  (용문동),042-536-0904
424,(주)펜타브리드,서울특별시 서초구 서운로26길 9  (서초동),02-6911-5555
425,(주)연훈커뮤니케이션,서울특별시 강남구 논현로124길 5  (논현동) 동양빌딩 4층,02-3444-8680
426,(주)에스앤씨스토리,"서울특별시 서초구 마방로2길 9  (양재동,보광빌딩) 6층",02-511-2010
427,(주)투앤파트너스,서울특별시 강남구 강남대로156길 24  (신사동) 유진빌딩 5층,02-546-9082
428,글로벌엔터피아(주),서울특별시 강남구 도산대로17길 8  (신사동) 동문빌딩,02-548-5922
429,(주)와이에스케이미디어,"서울특별시 종로구 세종대로 178  (세종로,정보통신,광화문전화국) 지상 1층",02-739-0065
430,(주)아이기스플래닝,서울특별시 송파구 위례성대로 18  (방이동) 금복빌딩 1204호,02-416-8315
431,(주)케이모스트컴퍼니,"서울특별시 강남구 언주로 427  (역삼동,디오빌역삼)",02-3466-6962
432,(주)솔트앤파트너즈,서울특별시 송파구 충민로2길 36  (장지동) 2층,02-569-3713
433,(주)에쓰디,"인천광역시 남구 주안로 108  (주안동,경향프라자 807)",032-424-2204
434,(주)메이크애드,서울특별시 강남구 도산대로 159-3  (신사동) 2층 201호,02-3416-0091
435,(주)아이앤유니,서울 금천구 가산동 에이스하이엔드타워3차 408호,02-2624-1800
436,(주)오즈커뮤니케이션,"경상남도 김해시 해반천로130번길 11 ,401호 (삼계동)",055-312-6808
437,(주)커뮤니케이션파크,"서울특별시 강서구 공항대로 219 1016호 (마곡동, 센테니아)",02-780-0025
438,(주)피더블유피,서울특별시 금천구 가산디지털1로 52  (가산동),02-2658-3273
439,(주)프랜드미디어,서울특별시 강남구 도곡로 139  (역삼동),02-3448-8980
440,(주)아이프로스펙트코리아,"서울특별시 강남구 테헤란로79길 6 10층 (삼성동,제이에스타워)",02-6005-0904
441,(주)디앤에이애드,서울특별시 동대문구 하정로 22-10 SG빌딩 3층 301호 (신설동),070-4734-8301
442,주식회사 에이블,"대전광역시 유성구 대학로 31  (봉명동,유성한진오피스텔)",042-822-1157
443,(주)인터크레존(서울),"서울특별시 서초구 신반포로 332 4층 (반포동,우진빌딩)",02-3442-4004
444,(주)미디어삼육공,"서울특별시 중구 장충단로 188  (장충동1가,분도빌딩) 3층 301호",070-4624-3600
445,(주)티원미디어,"서울특별시 강남구 언주로172길 65  (신사동,휴빌딩) 5층",02-511-4234
446,(주)컴웨이블루,서울특별시 송파구 백제고분로20길 13-8 16호-2 삼우빌딩(잠실동),02-564-3400
447,(주)스튜디오애니멀,"경기도 부천시 원미구 부천로198번길 18  (춘의동,춘의테크노파크II) 202-1006",032-623-0242
448,(주)가람슬기,"서울특별시 서초구 사평대로 140  (반포동,타호비즈니스센터) 206",02-537-9754
449,(주)나우콜,"서울특별시 서초구 강남대로45길 20  (서초동,서주빌딩) 101",070-7734-8582
450,(주)엘케이애드컴,서울특별시 은평구 은평로18길 6-14  (응암동),02-383-1584
451,(주)빅컴,전라북도 전주시 완산구 평화로 141  (평화동2가),063-226-2141
452,(주)조이디엑스,"서울특별시 영등포구 버드나루로14길 15  (영등포동7가,세명빌딩) 4층 401호",02-2675-8411
453,(주)커뮤니케이션포이보스,서울특별시 강남구 언주로81길 8  (역삼동) 산정빌딩 202,02-6402-8555
454,(주)지구인살리기,서울특별시 강남구 도산대로8길 15  (논현동)논현빌딩5층,02-567-3232
455,(주)필애드,"전라북도 전주시 완산구 아중로 33,4층 405호  (중노송동,전주정보영상진흥원)",02-518-8964
456,(주)아이디어스,"광주광역시 북구 첨단과기로176번길 27 602(오룡동,재단법인광주디자인센터)",070-4233-7378
457,(주)알앤씨온,"서울특별시 마포구 양화로7길 56  (서교동,천홍빌딩) 3층",02-597-2388
458,(주)오디웨이,"서울특별시 서초구 효령로 182  (방배동,동성빌딩)",02-3471-8146
459,(주)포엠미디어,서울특별시 강남구 논현로150길 15  (논현동) 402호,02-542-1656
460,(주)미디어실버,"서울특별시 서초구 남부순환로 2606 ,8층(양재동,금정빌딩)",070-7620-2689
461,(주)코리아미디어스퀘어,서울특별시 영등포구 국제금융로8길 19  (여의도동)중앙빌딩 912호,070-4800-4004
462,(주)엠캣쳐,서울특별시 중구 마른내로4길 29-1  (충무로4가)2층,02-2655-2909
463,(주)니치비젼,서울특별시 영등포구 63로 32  (여의도동) 1105호,02-786-9858
464,(주)스노우볼커뮤니케이션즈,서울특별시 구로구 새말로18길 24  (구로동) 2층,02-562-4009
465,이더블유더블유(주),서울특별시 구로구 구로중앙로28길 31-51  (구로동) 101,02-407-2589
466,(주)한국프랜차이즈서비스,서울특별시 강남구 봉은사로 129-1  (논현동) 751빌딩 7층 702-03호,070-4340-0910
467,(주)파란디에스아이,"경기도 안양시 동안구 시민대로 267  (관양동,평촌아크로팰리스) 611",031-396-5200
468,(주)마리아엔터테인먼트,경기도 용인시 수지구 광교중앙로 301  (상현동) 드림타워602-1호,031-214-3877
469,(주)오늘컴,서울특별시 종로구 대학로12길 50 5층 501호 (동숭동),02-3445-3252
470,(주)시카고프로젝트,경기도 파주시 돌곶이길 106  (서패동),02-6365-1218
471,산타클로스(주),"서울특별시 영등포구 국회대로 800  (여의도동,진미파라곤) 822",02-782-9995
472,주식회사 애드진,경상남도 진주시 진주대로1108번길 6  (평안동),055-755-7267
473,(주)이엔씨커뮤니케이션스,"서울특별시 구로구 디지털로 242  (구로동,한화비즈메트로1차)610",02-2621-2095
474,커뮤니케이션그룹 휘슬(주),서울특별시 종로구 새문안로5가길 28 1102호 (적선동),02-585-4082
475,지수(주),"서울특별시 강남구 역삼로11길 6  (역삼동,명인갤러리) 503",02-572-0304
476,주식회사 코아컴(부산),"부산광역시 해운대구 마린시티2로 2 ,마린파크 905호 (우동)",051-744-6677
477,(주)라파크,서울특별시 강남구 봉은사로 454 금탁타워 7층 (삼성동),02-511-0090
478,채널원,대전광역시 중구 유천로 10-1  (유천동),042-582-5910
479,(주)스탠다드커뮤니케이션,서울특별시 용산구 서빙고로91라길 13  (동빙고동),02-797-7105
480,더메이커스(주),"서울특별시 강남구 논현로 714  (논현동,대흥빌딩) 4층",02-510-9900
481,(주)소리지오,"서울특별시 영등포구 양산로 57-5 (양평동3가, 양평동 이노플렉스) (양평동3가)",02-6675-0123
482,(주)컴버전스,서울특별시 서초구 방배로19길 31  (방배동) 서진빌딩 5층,02-585-4688
483,(주)비브커뮤니케이션즈,"서울특별시 강남구 역삼로 172  (역삼동,2층)",02-574-7076
484,(주)운화미디어,"경기도 성남시 분당구 황새울로360번길 21  (서현동,분당서현 신영팰리스타워) 706",031-8000-9700
485,(주)오케이애드컴,서울특별시 강남구 논현로163길 10  (신사동) 베드로빌딩 6층 601,02-3443-1478
486,(주)움티안,"서울특별시 성동구 광나루로 130 1306호 (성수동1가, 서울숲아이티캐슬)",02-6310-6197
487,(주)미디어움,"서울특별시 마포구 월드컵북로 396 403(상암동,누리꿈스퀘어,비즈니스타워)",02-3151-9971
488,(주)아이오케이미디어,경기도 남양주시 화도읍 재재기로122번안길 26-2 아이오케미디어,02-549-0013
489,엔자임헬스 주식회사,서울특별시 종로구 자하문로 52  (창성동),02-318-5840
490,(주)탱크하우스,"서울특별시 서초구 나루터로 75  (잠원동,금산빌딩) 206호",02-545-4274
491,(주)큐스컴,서울특별시 강남구 강남대로62길 18  (역삼동) 맥산빌딩,02-554-6401
492,(주)큐인사이트,서울특별시 강남구 강남대로62길 18  (역삼동) 맥산빌딩 402-2호,02-554-6402
493,(주)브랜드센세이션,서울특별시 마포구 월드컵북로5길 38 다다빌딩 4층  (서교동),02-6743-3323
494,(주)오월커뮤니케이션즈,서울특별시 마포구 독막로 320 12층-1208 (도화동),02-3444-4590
495,(주)신컴,서울특별시 종로구 경희궁2길 14  (내수동) 402,02-724-9004
496,(주)지니스커뮤니케이션,"서울특별시 강남구 언주로170길 8  (신사동,스페이스데코) 2층",02-546-7446
497,(주)모픽미디어웍스,"부산광역시 해운대구 센텀동로 99  (재송동,벽산e센텀클래스원)",070-7753-8883
498,(주)아이브커뮤니케이션즈,서울특별시 강남구 논현로149길 13 예진빌딩 3층,02-2203-8500
499,(주)베리타스커넥트,"서울특별시 서초구 강남대로 331  9층(서초동, 광일빌딩)",02-561-5225
500,(주)원이엔티,서울특별시 마포구 월드컵북로 361 2동 1404호 (상암동 디엠씨이안오피스텔),02-711-9181
501,(주)판 커뮤니케이션,"대구광역시 남구 현충로 170 (대명동, 산학협력관 211호)",053-621-2254
502,(주)이너스커뮤니티,서울특별시 금천구 가산디지털1로 186 705호 (가산동),02-519-1200
503,(주)한국디지털컨텐츠,"서울특별시 중구 필동로 37  (필동3가,평강빌딩) 11",02-2260-2800
504,웨스트커뮤니케이션즈(주),"서울특별시 강남구 학동로2길 19  (논현동,세일빌딩)",02-3443-9021
505,(주)하나애드아이엠씨,"서울특별시 구로구 디지털로34길 27  (구로동,대륭포스트타워Ⅲ) 810",070-8656-5372
506,(주)후너스엔터테인먼트,"경기도 성남시 분당구 백현로 93  (수내동,로지트벤처빌딩)",031-603-9606
507,(주)더봄크레이티브,세종특별자치시 부강면 부강외천로 173 1층 105-1호,070-4230-0586
508,(주)에이전시더블유,서울특별시 서초구 서초중앙로12길 7  (서초동) 도체오빌딩 3층,02-2017-6105
509,(주)크리에이티브닷,서울특별시 강남구 도산대로67길 14  (청담동) 4층,02-542-9048
510,(주)에프엔모빌리티,부산광역시 부산진구 가야대로 574 (영진빌딩4층)(가야동),051-7979-7979
511,(주)컴퍼니,서울특별시 강남구 압구정로30길 73 도일빌딩 2층(신사동),02-2038-2272
512,(주)표현,서울특별시 강남구 논현로150길 13 혜창빌딩 6층(논현동),02-561-3664
513,주식회사 트리니티스튜디오,"서울특별시 마포구 월드컵북로 402 16층 C-03호 (상암동, 케이지아이티센터)",070-8781-4964
514,(주)텅인더마우스,서울특별시 마포구 월드컵북로15길 20 4층 (성산동),070-4349-5617
515,(주)에스피코리아,대구광역시 남구 대명남로 115 (대명동),053-588-0318
516,(주)베리모먼트,서울특별시 강남구 선릉로111길 41  (논현동) 3층 ,02-552-9347
517,(주)탄앰엔씨,서울특별시 강서구 양천로 551-17 911(가양동，비즈메트로1차),02-2654-6563
518,주식회사만,경상남도 진주시 진양호로111번길 22 (평거동，골든빌리지),055-742-5332
519,(주)굿무비프로덕션,경상남도 창원시 마산합포구 동서북10길 55-2 (창동),055-299-5506
520,(주)티앤아이컬쳐스,경기도 남양주시 와부읍 수레로319번길 18 (주)티앤아이 신관 M동 2층 ,02-558-7454
521,(주)에치앤피,서울특별시 서초구 강남대로23길 64  대산빌딩 4층(양재동),02-543-5600
522,미디어뱅크 주식회사,대구광역시 북구 칠성로5길 9-1 1층(칠성동2가),070-8232-8812
523,(주)브랜드발전소,서울특별시 구로구 디지털로34길 55 1201호 (구로동),02-2650-3810
524,(주)라온크리에이티브,서울특별시 강남구 논현로155길 9 솔로몬빌딩 201(신사동),02-577-4754
525,(주)제이비씨코리아,"서울특별시 서초구 서초대로 3-4 B동 1005호(방배동, 방배디오슈페리움1)",02-521-3789
526,(주)메익에프,서울특별시 강남구 봉은사로44길 43 오빌센터 105 (역삼동),070-7808-7355
527,(주)유진프로덕션,서울특별시 양천구 목동서로 77 현대월드타워 1728 (목동),02-2061-5080
528,(주)미디어오딧코리아,서울특별시 영등포구 여의대로 8 여의도파크센터 비-2502(여의도동),02-780-1331
529,주식회사 디지털노을,충청북도 충주시 계명대로 136 (교현동),043-848-0018
530,(주)제이엔케이커뮤니케이션즈,서울특별시 영등포구 여의대방로 379 제일빌딩 616-1호(여의도동),02-780-9685
531,(주)바른기획,서울특별시 성북구 삼선교로 54 (삼선동3가),02-743-9330
